factorAbbreviation,factorName,styleName,cagr,tstat,newey_west_tstat,rank_score,rank_style,rank_total
IO_Foreign,Foreign Institution Ownership,Price Momentum,0.01693422787567167,0.9382013104793772,0.9650236842001825,0.9382013104793772,16.0,130.0
CashToSales,Cash to Sales,Earnings Quality,0.013754264525010385,0.9241056889449412,1.0632469800075321,0.9241056889449412,34.0,131.0
CFEV,Net Cash Flow to Enterprise Value,Valuation,0.020542156947660928,0.9135577285909341,1.0302733736951935,0.9135577285909341,22.0,132.0
LogUnadjPrice,Log of Unadjusted Stock Price,Price Momentum,0.021824379276133676,0.9081051309055185,0.9375916157246702,0.9081051309055185,17.0,133.0
PSlopeSERR_26W,26W Price Stat,Price Momentum,0.021122894309702822,0.9067176865360927,0.9738742828977327,0.9067176865360927,18.0,134.0
BookLev,Book Leverage,Volatility,0.016187439865534614,0.889773377053916,0.8944272203263497,0.889773377053916,2.0,135.0
DivToCF,Dividends to Cash Flow,Valuation,0.009544032992124807,0.8762080199294677,0.8135794050522502,0.8762080199294677,23.0,136.0
InvPEGYC,Inverse P/E Ratio Adj for Growth and Yield,Valuation,0.018478472150987413,0.8734339221254693,0.8633666580623449,0.8734339221254693,24.0,137.0
Chg3YCF,3Y Chg in Cash Flow per Share,Historical Growth,0.01863244560119548,0.8732699699688047,0.8442439462558912,0.8732699699688047,28.0,138.0
60MAVGTTMEP,Normalized EP,Valuation,0.01706994818035179,0.8716777921342604,0.9618745908537839,0.8716777921342604,25.0,139.0
FwdEPC,Forward Earnings to Price,Valuation,0.021749029448217883,0.8711158980419904,0.9740496368393982,0.8711158980419904,26.0,140.0
IO_Level_AM,Institution Ownership Level - Active Manager,Price Momentum,0.016937697154483233,0.8662797041380368,0.8215098185462055,0.8662797041380368,19.0,141.0
EP,Earnings to Price,Valuation,0.0205325004944108,0.8557884257741318,0.9274692966686323,0.8557884257741318,27.0,142.0
PAdjChg3YCF,3Y Chg in Cash Flow to Price,Historical Growth,0.014874684083440837,0.8448111264932561,0.8685529795462923,0.8448111264932561,29.0,143.0
PAdjChg1YOCF,1Y Chg in Operating Cash Flow to Price,Historical Growth,0.009921104769735622,0.8431100751952049,0.8446691865184867,0.8431100751952049,30.0,144.0
FinLev,Degree of Financial Leverage,Capital Efficiency,0.012112012686026352,0.8403270895019955,0.8678037017329959,0.8403270895019955,19.0,145.0
WCapToAst,Working Capital to Total Assets,Earnings Quality,0.015390031386851577,0.8357344339655199,1.1519987181059164,0.8357344339655199,35.0,146.0
AdjFwdEPC,Adjusted Forward Earnings to Price,Valuation,0.02037531033546336,0.8317350082288552,0.9392372055721773,0.8317350082288552,28.0,147.0
3YAvgAnnSalesGrw,3Y Average Annual Sales Growth,Historical Growth,0.015817478634396753,0.8298017021360623,0.7341975923846673,0.8298017021360623,31.0,148.0
90DCV,90 Day Coefficient of Variation,Volatility,0.018612469334448933,0.8280427431271151,0.9741749292320869,0.8280427431271151,3.0,149.0
50DVolSig,50 Day Volume Signal,Price Momentum,0.01842730144230753,0.8162672880740403,1.0674189419077669,0.8162672880740403,20.0,150.0
Alpha60M,60M CAPM Alpha,Price Momentum,0.018431185793869487,0.802349746359833,0.887898110630725,0.802349746359833,21.0,151.0
TTMRecInvToSales,Trailing 12-Month Receivables and Inventories/Trailing 12-Month Sales,Historical Growth,0.017388097903618505,0.8009123040951522,0.9992988509008712,0.8009123040951522,32.0,152.0
EBITDAEV,EBITDA to Enterprise Value,Valuation,0.01845266996683481,0.7969532150263623,0.9473536249352396,0.7969532150263623,29.0,153.0
RONA,Return on Net Tangible Assets,Valuation,0.014882127803476752,0.793565253999613,0.7783160699682689,0.793565253999613,30.0,154.0
60MAVGTTMROA,Normalized ROA,Capital Efficiency,0.01034339216268676,0.7911544863908361,0.8368798129861464,0.7911544863908361,20.0,155.0
OEP,Operating Earnings to Price Ratio,Valuation,0.017881068623503582,0.7830838221256704,0.8493160115685533,0.7830838221256704,31.0,156.0
PAdjChg3YEPS,3Y Chg in Earnings to Price,Historical Growth,0.012333839929673962,0.7808802046133964,0.7068774988599358,0.7808802046133964,33.0,157.0
PAdjChg3YSales,3Y Chg in Sales to Price,Historical Growth,0.012049324163519337,0.7775240270109539,0.8560553098334985,0.7775240270109539,34.0,158.0
LogMktCapCubed,Log of Market Capitalization Cubed,Size,0.015911293313896735,0.7766897777842708,0.787315178293433,0.7766897777842708,1.0,159.0
QuickRatio,Quick Ratio,Earnings Quality,0.01057881470314559,0.7753915994805534,0.8204129138835546,0.7753915994805534,36.0,160.0
MaxRetPayoff,Max Daily Return in the Past 6 Months,Price Momentum,0.017011648653750377,0.7749596347143081,0.9772221103988127,0.7749596347143081,22.0,161.0
PAdjChg1YFCF,1Y Chg in Free Cash Flow to Price,Historical Growth,0.00913359001469205,0.7670598497357766,0.7810644633106961,0.7670598497357766,35.0,162.0
ROIC,Return on Invested Capital,Capital Efficiency,0.01286549224698108,0.7417447962076357,0.749953837181679,0.7417447962076357,21.0,163.0
PTIP,Pretax Income Per Share to Price,Valuation,0.01612589620367877,0.7379793678316959,0.827572178781276,0.7379793678316959,32.0,164.0
ChgSalestoChgEPS,Change of Sales to Change of EPS,Earnings Quality,0.009586384519945979,0.7268055520056449,0.757099305154037,0.7268055520056449,37.0,165.0
InvToAst,Inventory to Assets Ratio,Earnings Quality,0.01138482730397583,0.7245102308857055,0.8450103290695172,0.7245102308857055,38.0,166.0
4To52WPrcOsc,4W to 52W Price Oscillator,Price Momentum,0.01525443331693821,0.7203648569932007,0.7640978028685361,0.7203648569932007,23.0,167.0
WCapToSales,Working Capital to Sales,Earnings Quality,0.010571513756961748,0.7143092749965413,0.9217111786841174,0.7143092749965413,39.0,168.0
PA52WL20DLag,Percent Above 260-Day Low,Price Momentum,0.014746772234115912,0.7128201074165594,0.820651976999721,0.7128201074165594,24.0,169.0
LogMktCap,Log Market Cap,Size,0.013845847685379775,0.7089939535137578,0.7242828294688639,0.7089939535137578,2.0,170.0
60MAVGTTMROE,Normalized ROE,Capital Efficiency,0.01467479323589882,0.7037257396861489,0.6810787883911907,0.7037257396861489,22.0,171.0
AdjEPSNumRevFY2C,Adj Number of EPS FY2 Revisions,Analyst Expectations,0.012375183266369216,0.6975966957578339,0.7428258778606505,0.6975966957578339,15.0,172.0
DebtChg1Y,Year over Year Change of Total Debt,Capital Efficiency,0.008488857959857432,0.6905492231936549,0.7555567590265736,0.6905492231936549,23.0,173.0
STO_6M,6 Month Average Share Turn Over,Price Momentum,0.012613159118687545,0.6891885360969626,0.699400091940179,0.6891885360969626,25.0,174.0
AdjSTO_6M,Adjusted 6 Month Average Share Turn Over,Price Momentum,0.014479213764145182,0.684289739308826,0.8421569096811826,0.684289739308826,26.0,175.0
39WRtnLag4W,39W Lagged Return,Price Momentum,0.013785466399345525,0.6817751665172272,0.7753410897742695,0.6817751665172272,27.0,176.0
IO_BreadthStabBY,Ownership Breadth Stability of Institution Ownership by Buyers,Price Momentum,0.010997414214312329,0.6766135657632083,0.7528487229864991,0.6766135657632083,28.0,177.0
AstGrwth,Asset Growth - 1 Year,Capital Efficiency,0.011979404831827356,0.6643746529865348,0.7231016084167496,0.6643746529865348,24.0,178.0
AnnVol12M,12M Realized Price Volatility,Volatility,0.011616704256791843,0.6559550945601229,0.7025343649325263,0.6559550945601229,4.0,179.0
8WChgFwd12MEPS,8-Week Change in 12-Month Forward Earnings Consensus Estimate/Price,Valuation,0.012489248302690381,0.6551925057303063,0.6834676524470918,0.6551925057303063,33.0,180.0
LogTTMSales,Log TTM Sales,Size,0.012264613784572997,0.6448246704810521,0.6943545953665159,0.6448246704810521,3.0,181.0
VolAdjRtn12M,Volatility adjusted 12M return,Price Momentum,0.011902286874768908,0.6315701880094264,0.7212387604356127,0.6315701880094264,29.0,182.0
ROA60MSlope,ROA 60 Month Slope,Earnings Quality,0.011414738353024978,0.6313996279127071,0.6989074419820214,0.6313996279127071,40.0,183.0
EbitToAst,EBIT to Assets,Capital Efficiency,0.01096938135196579,0.6297525467615107,0.5865974607760127,0.6297525467615107,25.0,184.0
EBITDAP,EBITDA to Price,Valuation,0.01192691732384521,0.6178174597503026,0.7171046743885355,0.6178174597503026,34.0,185.0
HL52W,52W High Low,Price Momentum,0.009389386296330349,0.5688803745761507,0.5697144039964341,0.5688803745761507,30.0,186.0
FY2OverFY1Growth,Expected Earnings Growth: Fiscal Year 2/Fiscal Year 1,Historical Growth,0.008518898703345101,0.5569859262677505,0.5350377957818716,0.5569859262677505,36.0,187.0
ShareChg,1Y Chg in Shares Outstanding,Capital Efficiency,0.006753060478173145,0.5479513531021049,0.5331893790222231,0.5479513531021049,26.0,188.0
