,ddt,ticker,isin,gvkeyiid,sec,mp_ls_weight,ls_weight,factor_weight,factor,style,name,count,style_ls_weight
80,2026-08-31,002812 CH Equity,CNE100002BR3,32245801W,Materials,0.00015503410148775214,0.002301055837563609,0.06737520183426078,6MChgTgtPrcGapEMA,Analyst Expectations,MXCN1A_Analyst Expectations,66,0.0007930090858522065
81,2026-08-31,002821 CH Equity,CNE100002BZ6,32287801W,Health Care,-0.00015741924151064062,-0.0023364566966030493,0.06737520183426078,6MChgTgtPrcGapEMA,Analyst Expectations,MXCN1A_Analyst Expectations,65,-0.0008052092256345481
82,2026-08-31,002837 CH Equity,CNE100002CC3,32320601W,Industrials,0.00015503410148775214,0.002301055837563609,0.06737520183426078,6MChgTgtPrcGapEMA,Analyst Expectations,MXCN1A_Analyst Expectations,66,0.0007930090858522065
83,2026-08-31,002850 CH Equity,CNE100002JW6,32358701W,Consumer Discretionary,0.0,0.0,0.0,6MChgTgtPrcGapEMA,Analyst Expectations,MXCN1A_Analyst Expectations,181,0.0
84,2026-08-31,002851 CH Equity,CNE100002JV8,32364201W,Industrials,0.0,0.0,0.0,6MChgTgtPrcGapEMA,Analyst Expectations,MXCN1A_Analyst Expectations,181,0.0
85,2026-08-31,002920 CH Equity,CNE1000033C7,32628001W,Consumer Discretionary,0.0,0.0,0.0,6MChgTgtPrcGapEMA,Analyst Expectations,MXCN1A_Analyst Expectations,181,0.0
86,2026-08-31,002966 CH Equity,CNE100003LQ2,33262701W,Financials,0.00015503410148775214,0.002301055837563609,0.06737520183426078,6MChgTgtPrcGapEMA,Analyst Expectations,MXCN1A_Analyst Expectations,66,0.0007930090858522065
87,2026-08-31,300001 CH Equity,CNE100000H69,29280201W,Industrials,0.0,0.0,0.0,6MChgTgtPrcGapEMA,Analyst Expectations,MXCN1A_Analyst Expectations,181,0.0
88,2026-08-31,300003 CH Equity,CNE100000H44,29280401W,Health Care,0.00015503410148775214,0.002301055837563609,0.06737520183426078,6MChgTgtPrcGapEMA,Analyst Expectations,MXCN1A_Analyst Expectations,66,0.0007930090858522065
89,2026-08-31,300014 CH Equity,CNE100000GS4,29284501W,Industrials,0.0,0.0,0.0,6MChgTgtPrcGapEMA,Analyst Expectations,MXCN1A_Analyst Expectations,181,0.0
90,2026-08-31,300015 CH Equity,CNE100000GR6,29284601W,Health Care,0.00015503410148775214,0.002301055837563609,0.06737520183426078,6MChgTgtPrcGapEMA,Analyst Expectations,MXCN1A_Analyst Expectations,66,0.0007930090858522065
91,2026-08-31,300033 CH Equity,CNE100000JG3,29351501W,Financials,-0.00015741924151064062,-0.0023364566966030493,0.06737520183426078,6MChgTgtPrcGapEMA,Analyst Expectations,MXCN1A_Analyst Expectations,65,-0.0008052092256345481
92,2026-08-31,300037 CH Equity,CNE100000K15,29360601W,Materials,0.00015503410148775214,0.002301055837563609,0.06737520183426078,6MChgTgtPrcGapEMA,Analyst Expectations,MXCN1A_Analyst Expectations,66,0.0007930090858522065
93,2026-08-31,300054 CH Equity,CNE100000LM7,29382201W,Materials,-0.00015741924151064062,-0.0023364566966030493,0.06737520183426078,6MChgTgtPrcGapEMA,Analyst Expectations,MXCN1A_Analyst Expectations,65,-0.0008052092256345481
94,2026-08-31,300059 CH Equity,CNE100000MD4,29421201W,Financials,0.0,0.0,0.0,6MChgTgtPrcGapEMA,Analyst Expectations,MXCN1A_Analyst Expectations,181,0.0
95,2026-08-31,300122 CH Equity,CNE100000V20,29534401W,Health Care,0.0,0.0,0.0,6MChgTgtPrcGapEMA,Analyst Expectations,MXCN1A_Analyst Expectations,181,0.0
96,2026-08-31,300124 CH Equity,CNE100000V46,29534601W,Industrials,0.0,0.0,0.0,6MChgTgtPrcGapEMA,Analyst Expectations,MXCN1A_Analyst Expectations,181,0.0
97,2026-08-31,300207 CH Equity,CNE100001260,29716101W,Industrials,-0.00015741924151064062,-0.0023364566966030493,0.06737520183426078,6MChgTgtPrcGapEMA,Analyst Expectations,MXCN1A_Analyst Expectations,65,-0.0008052092256345481
98,2026-08-31,300274 CH Equity,CNE1000018M7,30639201W,Industrials,0.0,0.0,0.0,6MChgTgtPrcGapEMA,Analyst Expectations,MXCN1A_Analyst Expectations,181,0.0
99,2026-08-31,300285 CH Equity,CNE100001FB0,31143201W,Materials,-0.00015741924151064062,-0.0023364566966030493,0.06737520183426078,6MChgTgtPrcGapEMA,Analyst Expectations,MXCN1A_Analyst Expectations,65,-0.0008052092256345481
100,2026-08-31,300346 CH Equity,CNE100001K48,31336701W,Materials,0.00015503410148775214,0.002301055837563609,0.06737520183426078,6MChgTgtPrcGapEMA,Analyst Expectations,MXCN1A_Analyst Expectations,66,0.0007930090858522065
101,2026-08-31,300347 CH Equity,CNE100001KV8,31347901W,Health Care,0.0,0.0,0.0,6MChgTgtPrcGapEMA,Analyst Expectations,MXCN1A_Analyst Expectations,181,0.0
102,2026-08-31,300395 CH Equity,CNE100001XR9,31832001W,Materials,0.0,0.0,0.0,6MChgTgtPrcGapEMA,Analyst Expectations,MXCN1A_Analyst Expectations,181,0.0
