style,ddt,ticker,isin,gvkeyiid,Analyst Expectations,Analyst Expectations,Capital Efficiency,Earnings Quality,Historical Growth,Price Momentum,Price Momentum,Valuation,Volatility,MP
factor_weight,,,,,0.021621521816389294,0.20431602944049673,0.049936965510287146,0.09875848294333273,0.24346249417352991,0.024010934147244627,0.20767050160349557,0.14737045318156372,0.0028526171836602172,1.0
factor,,,,,Rev3MFY2C,RevMagFY1C,TobinQ,FCFSales,SalesAcc,52WSlope,PM6M,FwdEPC,90DCV,AGG
137,2025-11-30,002821 CH Equity,CNE100002BZ6,32287801W,0.011904761904761904,,,,-0.012345679012345678,0.006172839506172839,,,,-0.0026000950924845246
138,2025-11-30,002841 CH Equity,CNE100002K47,32331001W,,,,,,,,,,0.0
139,2025-11-30,002850 CH Equity,CNE100002JW6,32358701W,,,,,,,-0.03333333333333333,,0.010416666666666666,-0.006892635291120058
140,2025-11-30,002851 CH Equity,CNE100002JV8,32364201W,,-0.012345679012345678,,,,0.006172839506172839,,,0.010416666666666666,-0.002344489711335322
141,2025-11-30,002916 CH Equity,CNE100003373,32619401W,0.011904761904761904,0.012048192771084338,,,,0.006172839506172839,,,0.010416666666666666,0.0028969683833783974
142,2025-11-30,002920 CH Equity,CNE1000033C7,32628001W,,,-0.043478260869565216,,,,,,0.010416666666666666,-0.0021414576511609514
143,2025-11-30,002938 CH Equity,CNE100003GF5,32858301W,0.011904761904761904,,,,,0.006172839506172839,,,,0.00040561471212695576
144,2025-11-30,002939 CH Equity,CNE100003GD0,32829201W,,,,,,,-0.03333333333333333,,0.010416666666666666,-0.006892635291120058
145,2025-11-30,002966 CH Equity,CNE100003LQ2,33262701W,,,,,,,,,,0.0
146,2025-11-30,003816 CH Equity,CNE100003N43,31877006W,,-0.012345679012345678,,,-0.012345679012345678,,,-0.038461538461538464,,-0.011196224274297888
147,2025-11-30,300001 CH Equity,CNE100000H69,29280201W,0.011904761904761904,,,,-0.012345679012345678,0.006172839506172839,,,,-0.0026000950924845246
148,2025-11-30,300003 CH Equity,CNE100000H44,29280401W,0.011904761904761904,0.012048192771084338,,,0.006211180124223602,0.006172839506172839,,,,0.004379443025853137
149,2025-11-30,300012 CH Equity,CNE100000GV8,29284301W,,,,,,,,,,0.0
150,2025-11-30,300014 CH Equity,CNE100000GS4,29284501W,0.011904761904761904,-0.012345679012345678,,,0.006211180124223602,0.006172839506172839,,,0.010416666666666666,-0.000574901237288059
151,2025-11-30,300015 CH Equity,CNE100000GR6,29284601W,,,,,,,,,,0.0
152,2025-11-30,300017 CH Equity,CNE100000GQ8,29284801W,,,,,-0.012345679012345678,,,,-0.010752688172043012,-0.0030363831076615903
153,2025-11-30,300033 CH Equity,CNE100000JG3,29351501W,,,,,,,-0.03333333333333333,,0.010416666666666666,-0.006892635291120058
154,2025-11-30,300037 CH Equity,CNE100000K15,29360601W,,,,,,0.006172839506172839,,,0.010416666666666666,0.00017793040521402003
155,2025-11-30,300054 CH Equity,CNE100000LM7,29382201W,,,,,,0.006172839506172839,,,,0.0001482156428842261
156,2025-11-30,300059 CH Equity,CNE100000MD4,29421201W,,,,-0.014084507042253521,,,,,,-0.001390964548497644
157,2025-11-30,300115 CH Equity,CNE100000T40,29524801W,-0.012048192771084338,0.012048192771084338,,-0.014084507042253521,0.006211180124223602,-0.012345679012345678,,,0.010416666666666666,0.0020556469789418147
158,2025-11-30,300122 CH Equity,CNE100000V20,29534401W,-0.012048192771084338,-0.012345679012345678,,,0.006211180124223602,-0.012345679012345678,,,,-0.0015671622603613247
159,2025-11-30,300124 CH Equity,CNE100000V46,29534601W,,0.012048192771084338,,,,0.006172839506172839,,,,0.0026098545518058736
160,2025-11-30,300136 CH Equity,CNE100000W94,29568001W,,,,,,,,,,0.0
161,2025-11-30,300144 CH Equity,CNE100000XG4,29598201W,-0.012048192771084338,-0.012345679012345678,,,,,0.03333333333333333,,-0.010752688172043012,0.004108756371002336
162,2025-11-30,300207 CH Equity,CNE100001260,29716101W,,,,-0.014084507042253521,,0.006172839506172839,,,0.010416666666666666,-0.0012130341432836239
163,2025-11-30,300223 CH Equity,CNE100001377,29788801W,,0.012048192771084338,,0.013888888888888888,0.006211180124223602,0.006172839506172839,,,,0.005493689553045584
164,2025-11-30,300251 CH Equity,CNE100001617,29839701W,,,,,,,0.03333333333333333,-0.038461538461538464,,0.0012542557003127862
165,2025-11-30,300255 CH Equity,CNE1000016C2,29867201W,,,,,,0.006172839506172839,,,,0.0001482156428842261
166,2025-11-30,300274 CH Equity,CNE1000018M7,30639201W,0.011904761904761904,0.012048192771084338,,0.013888888888888888,0.006211180124223602,0.006172839506172839,,,0.010416666666666666,0.0057808033846181075
167,2025-11-30,300308 CH Equity,CNE100001CY9,31216101W,0.011904761904761904,0.012048192771084338,,0.013888888888888888,,0.006172839506172839,,,0.010416666666666666,0.004268613979813574
168,2025-11-30,300316 CH Equity,CNE100001DJ8,31255301W,-0.012048192771084338,-0.012345679012345678,,,,,,,,-0.002782920379397406
169,2025-11-30,300339 CH Equity,CNE100001JT4,31306901W,,,,,,,,,,0.0
170,2025-11-30,300347 CH Equity,CNE100001KV8,31347901W,,0.012048192771084338,,,0.006211180124223602,,,,,0.003973828313726181
171,2025-11-30,300373 CH Equity,CNE100001R90,31699101W,0.011904761904761904,0.012048192771084338,,,,0.006172839506172839,,,,0.0028672536210486033
172,2025-11-30,300394 CH Equity,CNE100001XQ1,31925201W,0.011904761904761904,0.012048192771084338,,,0.006211180124223602,0.006172839506172839,,,0.010416666666666666,0.004409157788182931
173,2025-11-30,300408 CH Equity,CNE100001Y42,31876201W,,,,0.013888888888888888,,,,,,0.0013716455964351768
