factorId,factorAbbreviation,factorName,factorShortName,styleName,factorOrder
38,CFP,Net Cash Flow to Price,NCF / Price,Valuation,0
39,EBITDAP,EBITDA to Price,EBITDA / Price,Valuation,0
40,PTIP,Pretax Income Per Share to Price,PreTaxInc / Price,Valuation,0
41,AstAdjChg1YCF,1Y Chg in Asset Adjusted Cash Flow,1YAssetAdjCF,Historical Growth,0
42,AstAdjChg1YEPS,1Y Chg in Asset Adjusted EPS,1YAssetAdjEPS,Historical Growth,0
43,AstAdjChg1YFCF,1Y Chg in Asset Adjusted Free Cash Flow,1Y Chg FCF / Assets,Historical Growth,0
44,AstAdjChg1YOCF,1Y Chg in Asset Adjusted Operating Cash Flow,1Y Chg OCF / Assets,Historical Growth,0
45,Chg1YAstTo,1Y Chg in Sales Turnover,1Y Chg Sales Turnover,Historical Growth,0
46,Chg1YCF,1Y Chg in Cash Flow per Share,1YChg CFS,Historical Growth,0
47,Chg1YEPS,1Y Chg in Earnings per Share,1Y Chg EPS,Historical Growth,0
48,Chg1YFCF,1Y Chg in Free Cash Flow per Share,1YChgFCFS,Historical Growth,0
49,Chg1YOCF,1Y Chg in Operating Cash Flow per Share,1YChgOCFS,Historical Growth,0
50,Chg1YOPM,1Y Chg in Operating Margin,1YChgOpMrgn,Historical Growth,0
51,PAdjChg1YCF,1Y Chg in Cash Flow to Price,1YChg CF / Price,Historical Growth,0
52,PAdjChg1YEPS,1Y Chg in Earnings to Price,1YChg EP,Historical Growth,0
53,PAdjChg1YFCF,1Y Chg in Free Cash Flow to Price,1YChg FCF / Price,Historical Growth,0
54,PAdjChg1YOCF,1Y Chg in Operating Cash Flow to Price,1YChg OCF / Price,Historical Growth,0
55,AstAdjChg3YCF,3Y Chg in Asset Adjusted Cash Flow,3YAssetAdjCF,Historical Growth,0
56,AstAdjChg3YEPS,3Y Chg in Asset Adjusted EPS,3YAssetAdjEPS,Historical Growth,0
57,AstAdjChg3YFCF,3Y Chg in Asset Adjusted Free Cash Flow,3YAssetAdjFCF,Historical Growth,0
58,AstAdjChg3YOCF,3Y Chg in Asset Adjusted Operating Cash Flow,3YAssetAdjOCF,Historical Growth,0
59,Chg3YAstTo,3Y Chg in Sales Turnover,3YChgSalesTurnover,Historical Growth,0
